date,TmaxD
2021-06-01,24.899269104003906
2021-06-02,21.56748390197754
2021-06-03,24.99810028076172
2021-06-04,24.561729431152344
2021-06-05,19.4069766998291
2021-06-06,21.413848876953125
2021-06-07,21.57821273803711
2021-06-08,20.049468994140625
2021-06-09,23.254844665527344
2021-06-10,25.22575569152832
2021-06-11,26.059724807739258
2021-06-12,26.90140151977539
2021-06-13,26.4420223236084
2021-06-14,27.47019386291504
2021-06-15,28.825693130493164
2021-06-16,29.95051383972168
2021-06-17,30.469554901123047
2021-06-18,29.681110382080078
2021-06-19,28.76682472229004
2021-06-20,26.679790496826172
2021-06-21,24.984153747558594
2021-06-22,23.403533935546875
2021-06-23,24.101972579956055
2021-06-24,22.46087074279785
2021-06-25,19.852066040039062
2021-06-26,23.985313415527344
2021-06-27,25.964141845703125
2021-06-28,26.61367416381836
2021-06-29,20.346580505371094
2021-06-30,18.282920837402344
2021-04-01,21.754554748535156
2021-04-02,21.558042526245117
2021-04-03,10.493725776672363
2021-04-04,13.77365779876709
2021-04-05,16.656925201416016
2021-04-06,5.6163225173950195
2021-04-07,5.208552837371826
2021-04-08,11.080605506896973
2021-04-09,15.9619722366333
2021-04-10,15.07602310180664
2021-04-11,17.587139129638672
2021-04-12,8.305877685546875
2021-04-13,8.66814136505127
2021-04-14,9.76005744934082
2021-04-15,9.35588264465332
2021-04-16,10.092928886413574
2021-04-17,10.950724601745605
2021-04-18,10.11904239654541
2021-04-19,13.163450241088867
2021-04-20,15.519813537597656
2021-04-21,16.61579704284668
2021-04-22,18.049930572509766
2021-04-23,18.591617584228516
2021-04-24,21.274185180664062
2021-04-25,21.287311553955078
2021-04-26,17.837337493896484
2021-04-27,19.027379989624023
2021-04-28,19.476852416992188
2021-04-29,15.366276741027832
2021-04-30,11.015539169311523
2021-05-01,8.958471298217773
2021-05-02,12.244939804077148
2021-05-03,14.930160522460938
2021-05-04,17.09468650817871
2021-05-05,13.497818946838379
2021-05-06,11.01352596282959
2021-05-07,13.69324779510498
2021-05-08,20.23810386657715
2021-05-09,24.809329986572266
2021-05-10,17.48013687133789
2021-05-11,12.895151138305664
2021-05-12,16.316299438476562
2021-05-13,12.831832885742188
2021-05-14,15.522783279418945
2021-05-15,12.276774406433105
2021-05-16,12.112908363342285
2021-05-17,12.688651084899902
2021-05-18,16.128433227539062
2021-05-19,13.73992919921875
2021-05-20,15.588400840759277
2021-05-21,13.129602432250977
2021-05-22,17.533199310302734
2021-05-23,17.20956039428711
2021-05-24,17.46614646911621
2021-05-25,15.45626449584961
2021-05-26,18.38409423828125
2021-05-27,17.025253295898438
2021-05-28,21.455625534057617
2021-05-29,21.289344787597656
2021-05-30,20.417694091796875
2021-05-31,22.19328498840332
2021-07-01,22.29291343688965
2021-07-02,23.969833374023438
2021-07-03,20.86971092224121
2021-07-04,19.82080841064453
2021-07-05,24.80388832092285
2021-07-06,19.206310272216797
2021-07-07,23.010244369506836
2021-07-08,21.128808975219727
2021-07-09,22.408863067626953
2021-07-10,25.048927307128906
2021-07-11,22.842988967895508
2021-07-12,24.028076171875
2021-07-13,18.080724716186523
2021-07-14,19.7249698638916
2021-07-15,17.2264404296875
2021-07-16,21.803165435791016
2021-07-17,24.451017379760742
2021-07-18,25.888887405395508
2021-07-19,27.170886993408203
2021-07-20,27.794151306152344
2021-07-21,26.853092193603516
2021-07-22,27.40886878967285
2021-07-23,27.75685691833496
2021-07-24,24.204376220703125
2021-07-25,23.816238403320312
2021-07-26,23.275178909301758
2021-07-27,24.29918670654297
2021-07-28,23.170978546142578
2021-07-29,25.7178955078125
2021-07-30,25.90842628479004
2021-07-31,22.93210792541504
